"","ACC2SURV_ACCID","Quercheck","ANS2SURV_ID","ANS2SURV_DURATION","IMPACT","OCCURRENCE","X1PCT","Y1PCT","X2PCT","Y2PCT","PROZAHL","RPZ","GRAPHIO","GRAPHRPZ","QUES2SURV_ID","Q2SID_PREV","Q2SID_NEXT","QUES2SURV_QUESID","QUES_ID","QUES_TEXT","QUES_TYP","QUES2SURV_SURVID","SURV_NAME","QUES2SURV_SORT","QUES2SURV_METHOD","QUES2SURV_KBID","ANS2SURV_QUES2SURVID","ANS2SURV_ACC2SURVID","ANS2SURV_METHOD","MODIFIED","ACC2SURV_GROUPID","ACC2SURV_FIRSTSTEP_DATE","ACC2SURV_MAILFIRST","ACC2SURV_MAILSECOND","ACC2SURV_ROLE","ANS2SURV_ANSWERED","ANS2SURV_COMMENT","QUES_CAUSE","QUES_EFFECT","X1Pixel","X2Pixel","Y1Pixel","Y2Pixel","ClassicGrid","getlowx","gethighx","getlowy","gethighy","hitOcc","hitImp","QuestionGroup","uncertaintyIPixel","uncertaintyOPixel","uncertaintyAreaPixel","uncertaintyPerimeterPixel","uncertaintytotalPixel","middleX","middleY","middleIGRID","middleOGRID","middleGRID","scaled_IMPACT","scaled_OCCURRENCE","scaled_X1","scaled_X2","scaled_Y1","scaled_Y2","scaled_uncertainty_X","scaled_uncertainty_Y","scaled_uncertainty_XY","scaled_uncertainty_AREA","scaled_uncertainty_PERIMETER","scaled_uncertainty_middle_X","scaled_uncertainty_middle_Y"
"1",346,346,139289,64,3,3,"63","19","68","25.75",36,9,-1,-1,1269,0,1271,344,344,"keine umfangreiche Information aller Betroffenen und Beteiligten (z. B. zur weiteren (Unternehmens- und Abteilungs-)Strategie bzgl. Fortbestand der Therapiestation und des Zyklotron, sowie den Funktionsräumen von Gebäude 161 (SPECT/PET); Schilddrüsenspezialambulanz)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",1,"classic","BB1",1269,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- keine umfassende, zeitgerechte Einbindung und Kommunikation und Information durch in der Projektorganisation und das KD <br>- keine ausreichenden Ressourcenverfügbarkeit für Projekttermine usw. <br>- Masterplan nicht kommuniziert","	- Projektänderungswünsche <br>- Projektverzögerungen <br>- Nutzerunzufriedenheit <br>- keine Identifikation mit dem Projekt <br>- Skepsis, Ängste bzw. keine Zustimmung der Beteiligten und Betroffenen",252,272,324,297,"Grid33",4,4,5,4,FALSE,FALSE,NA,20,-27,-540,-14,-7,262,310.5,4,4,"Grid44",50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",346,346,139291,24,3,5,"42.75","52.5","54.25","59.75",60,15,-1,-1,1271,1269,1377,345,345,"Projektanforderungen ändern sich","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",2,"classic","BB2",1271,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- Wechsel der Nutzervertreter BO (z. B. durch Pensionierungen)  <br>- lange Projektlaufzeit","	- Kostensteigerungen <br>- zeitliche Verzögerungen <br>- Veränderung des technischen Standards zwischen Planung und Inbetriebnahme",171,217,190,161,"Grid53",3,3,3,3,FALSE,TRUE,NA,46,-29,-1334,34,17,194,175.5,3,3,"Grid33",50,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",346,346,139295,26,4,5,"73.5","11.75","82.75","20.75",80,20,-1,-1,1273,1377,1275,347,347,"keine ausreichende Ressourcenverfügbarkeit bei den Betroffenen und Beteiligten (z. B. für Projektsitzungen im Rahmen der Planung, Umsetzung und Übersiedelung)","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",4,"classic","BB4",1273,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","im Rahmen der Projektplanung werden Dienstpläne, Urlaubszeiten oder Zeiten intensiver zusätzlicher Tätigkeiten (z. B. Jahresabschluss) nicht berücksichtigt <br>(Fachbereiche, Hygiene)","	- Projektverzögerung <br>- verzögerte Inbetriebnahme",294,331,353,317,"Grid54",4,5,5,4,FALSE,TRUE,NA,37,-36,-1332,2,1,312.5,335,4,5,"Grid54",70,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",346,346,139297,15,4,4,"50.5","55.5","57.75","61",64,16,-1,-1,1275,1273,1277,348,348,"Abhängigkeiten der Projektumsetzung von Einzelpersonen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",5,"classic","BB5",1275,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",202,231,178,156,"Grid44",3,3,3,2,FALSE,FALSE,NA,29,-22,-638,14,7,216.5,167,3,3,"Grid33",70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",346,346,139299,10,3,4,"27.75","85.75","37.5","91.5",48,12,-1,-1,1277,1275,1279,349,349,"Veränderte bzw. nicht/besonders wahrgenommene Zuständigkeit","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",6,"classic","BB6",1277,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","",111,150,57,34,"Grid43",2,2,1,1,FALSE,FALSE,NA,39,-23,-897,32,16,130.5,45.5,2,1,"Grid12",50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",346,346,139301,9,2,3,"38.75","47.5","46.75","55.75",24,6,-1,-1,1279,1277,1281,350,350,"neue, überzogene (An-)Forderungen der Nutzer/Partner","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",7,"classic","BB7",1279,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",155,187,210,177,"Grid32",2,3,3,3,TRUE,TRUE,NA,32,-33,-1056,-2,-1,171,193.5,3,3,"Grid33",30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",346,346,139303,18,2,3,"6.75","3.25","11.25","12",24,6,-1,-1,1281,1279,1283,351,351,"Falsche oder nicht ausgesprochene Erwartungen durch Nutzer, Partner, Anrainer","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",8,"classic","BB8",1281,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- lange Projektdauer <br>- Wechsel wesentlicher Schlüsselpersonen","",27,45,387,352,"Grid32",1,1,5,5,FALSE,FALSE,NA,18,-35,-630,-34,-17,36,369.5,1,5,"Grid51",30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",346,346,139305,13,3,4,"32","33.25","38.25","39",48,12,-1,-1,1283,1281,1285,352,352,"Überlastung des Projektteams","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",9,"classic","BB9",1283,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","mehrere gleichzeitig laufende Projekte","Projektverzögerung",128,153,267,244,"Grid43",2,2,4,4,TRUE,FALSE,NA,25,-23,-575,4,2,140.5,255.5,2,4,"Grid42",50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",346,346,139307,13,2,3,"37.5","43.5","44.75","48.75",24,6,-1,-1,1285,1283,1287,353,353,"mangelnde Unterstützung/Widerstand von Beteiligten und Betroffenen","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",10,"classic","BB10",1285,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","","Projektverzögerung",150,179,226,205,"Grid32",2,3,3,3,TRUE,TRUE,NA,29,-21,-609,16,8,164.5,215.5,3,3,"Grid33",30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",346,346,139309,7,2,3,"15.5","48.5","24.75","53.75",24,6,-1,-1,1287,1285,1289,354,354,"langwierige Entscheidungsfindung","Risiko",61,"Vorprojekt Kopfzentrum Klinikum Klagenfurt",11,"classic","OR1",1287,561,"classic","27.09.2022",2,"02.09.2022","17.08.2022","16.09.2022",1,1,"","	- unklare Entscheidungs- und Freigabeprozesse <br>- unklare Zuständigkeiten <br>- keine klare Festlegung, Darstellung und Kommunikation des Projektaufbau und -ablauforganisations sowie der Entscheidungsmatrix <br>- Wechsel von Schlüsselpersonen","	- Projektverzögerung",62,99,206,185,"Grid32",1,2,3,3,TRUE,TRUE,NA,37,-21,-777,32,16,80.5,195.5,2,3,"Grid32",30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
