"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",8948,1.55040371486988,0,0,4,1.49812734082397,1,1.38888888888889
"2","Grid12","1","2",9940,1.72228575388987,0,0,8,2.99625468164794,1,1.38888888888889
"3","Grid13","1","3",21068,3.65041411096095,1,1.38888888888889,10,3.74531835205993,3,4.16666666666667
"4","Grid14","1","4",19751,3.42221991197976,1,1.38888888888889,9,3.37078651685393,1,1.38888888888889
"5","Grid15","1","5",9824,1.70218664448834,0,0,5,1.87265917602996,1,1.38888888888889
"6","Grid21","2","1",8551,1.48161624562498,0,0,4,1.49812734082397,0,0
"7","Grid22","2","2",26724,4.63041896247011,2,2.77777777777778,12,4.49438202247191,6,8.33333333333333
"8","Grid23","2","3",33524,5.80864261704266,4,5.55555555555556,17,6.36704119850187,5,6.94444444444444
"9","Grid24","2","4",26390,4.57254738884846,4,5.55555555555556,14,5.2434456928839,5,6.94444444444444
"10","Grid25","2","5",15904,2.75565720622379,0,0,7,2.62172284644195,1,1.38888888888889
"11","Grid31","3","1",5785,1.00235644730915,0,0,3,1.12359550561798,0,0
"12","Grid32","3","2",30954,5.36334338288803,3,4.16666666666667,19,7.11610486891386,0,0
"13","Grid33","3","3",78279,13.5632602141595,9,12.5,33,12.3595505617978,13,18.0555555555556
"14","Grid34","3","4",60137,10.4198288110337,10,13.8888888888889,27,10.1123595505618,8,11.1111111111111
"15","Grid35","3","5",31694,5.49156183941505,0,0,13,4.8689138576779,7,9.72222222222222
"16","Grid41","4","1",3159,0.547354194822747,0,0,1,0.374531835205993,0,0
"17","Grid42","4","2",21423,3.71192431645701,2,2.77777777777778,13,4.8689138576779,4,5.55555555555556
"18","Grid43","4","3",52212,9.04667844890321,22,30.5555555555556,19,7.11610486891386,8,11.1111111111111
"19","Grid44","4","4",37903,6.56738399695048,9,12.5,16,5.99250936329588,3,4.16666666666667
"20","Grid45","4","5",19014,3.29452126000624,2,2.77777777777778,7,2.62172284644195,1,1.38888888888889
"21","Grid51","5","1",1638,0.283813286204387,0,0,1,0.374531835205993,0,0
"22","Grid52","5","2",4023,0.697057906227259,0,0,4,1.49812734082397,0,0
"23","Grid53","5","3",13311,2.30637280382576,1,1.38888888888889,5,1.87265917602996,0,0
"24","Grid54","5","4",14427,2.49974009772326,2,2.77777777777778,8,2.99625468164794,0,0
"25","Grid55","5","5",22557,3.90841043767543,0,0,8,2.99625468164794,4,5.55555555555556
